Ulazno: 0, silazno: 100 
Ulazno: 1, silazno: 99 
Ulazno: 2, silazno: 98 
Ulazno: 3, silazno: 97 
Ulazno: 4, silazno: 96 
Ulazno: 5, silazno: 95 
Ulazno: 6, silazno: 94 
Ulazno: 7, silazno: 93 
Ulazno: 8, silazno: 92 
Ulazno: 9, silazno: 91 
Ulazno: 10, silazno: 90 
Ulazno: 11, silazno: 89 
Ulazno: 12, silazno: 88 
Ulazno: 13, silazno: 87 
Ulazno: 14, silazno: 86 
Ulazno: 15, silazno: 85 
Ulazno: 16, silazno: 84 
Ulazno: 17, silazno: 83 
Ulazno: 18, silazno: 82 
Ulazno: 19, silazno: 81 
Ulazno: 20, silazno: 80 
Ulazno: 21, silazno: 79 
Ulazno: 22, silazno: 78 
Ulazno: 23, silazno: 77 
Ulazno: 24, silazno: 76 
Ulazno: 25, silazno: 75 
Ulazno: 26, silazno: 74 
Ulazno: 27, silazno: 73 
Ulazno: 28, silazno: 72 
Ulazno: 29, silazno: 71 
Ulazno: 30, silazno: 70 
Ulazno: 31, silazno: 69 
Ulazno: 32, silazno: 68 
Ulazno: 33, silazno: 67 
Ulazno: 34, silazno: 66 
Ulazno: 35, silazno: 65 
Ulazno: 36, silazno: 64 
Ulazno: 37, silazno: 63 
Ulazno: 38, silazno: 62 
Ulazno: 39, silazno: 61 
Ulazno: 40, silazno: 60 
Ulazno: 41, silazno: 59 
Ulazno: 42, silazno: 58 
Ulazno: 43, silazno: 57 
Ulazno: 44, silazno: 56 
Ulazno: 45, silazno: 55 
Ulazno: 46, silazno: 54 
Ulazno: 47, silazno: 53 
Ulazno: 48, silazno: 52 
Ulazno: 49, silazno: 51 
Ulazno: 50, silazno: 50 
Ulazno: 51, silazno: 49 
Ulazno: 52, silazno: 48 
Ulazno: 53, silazno: 47 
Ulazno: 54, silazno: 46 
Ulazno: 55, silazno: 45 
Ulazno: 56, silazno: 44 
Ulazno: 57, silazno: 43 
Ulazno: 58, silazno: 42 
Ulazno: 59, silazno: 41 
Ulazno: 60, silazno: 40 
Ulazno: 61, silazno: 39 
Ulazno: 62, silazno: 38 
Ulazno: 63, silazno: 37 
Ulazno: 64, silazno: 36 
Ulazno: 65, silazno: 35 
Ulazno: 66, silazno: 34 
Ulazno: 67, silazno: 33 
Ulazno: 68, silazno: 32 
Ulazno: 69, silazno: 31 
Ulazno: 70, silazno: 30 
Ulazno: 71, silazno: 29 
Ulazno: 72, silazno: 28 
Ulazno: 73, silazno: 27 
Ulazno: 74, silazno: 26 
Ulazno: 75, silazno: 25 
Ulazno: 76, silazno: 24 
Ulazno: 77, silazno: 23 
Ulazno: 78, silazno: 22 
Ulazno: 79, silazno: 21 
Ulazno: 80, silazno: 20 
Ulazno: 81, silazno: 19 
Ulazno: 82, silazno: 18 
Ulazno: 83, silazno: 17 
Ulazno: 84, silazno: 16 
Ulazno: 85, silazno: 15 
Ulazno: 86, silazno: 14 
Ulazno: 87, silazno: 13 
Ulazno: 88, silazno: 12 
Ulazno: 89, silazno: 11 
Ulazno: 90, silazno: 10 
Ulazno: 91, silazno: 9 
Ulazno: 92, silazno: 8 
Ulazno: 93, silazno: 7 
Ulazno: 94, silazno: 6 
Ulazno: 95, silazno: 5 
Ulazno: 96, silazno: 4 
Ulazno: 97, silazno: 3 
Ulazno: 98, silazno: 2 
Ulazno: 99, silazno: 1 
